Time	TMin	TMax	Data[1]
4252	4252	4252	0
4272	4252	4272	0
4388	4252	4388	0
4316	4252	4388	0
4328	4252	4388	0
4900	4252	4900	0
4220	4220	4900	0
4284	4220	4900	0
4848	4220	4900	0
4228	4220	4900	0
4300	4220	4900	0
4840	4220	4900	0
4236	4220	4900	0
4280	4220	4900	0
4860	4220	4900	0
4320	4220	4900	0
4304	4220	4900	0
4284	4220	4900	0
4380	4220	4900	0
4296	4220	4900	0
4324	4220	4900	0
4412	4220	4900	0
4384	4220	4900	0
4268	4220	4900	0
4328	4220	4900	0
4424	4220	4900	0
4268	4220	4900	0
4304	4220	4900	0
4312	4220	4900	0
4232	4220	4900	0
4272	4220	4900	0
4328	4220	4900	0
4208	4208	4900	0
4384	4208	4900	0
4284	4208	4900	0
4288	4208	4900	0
4300	4208	4900	0
4380	4208	4900	0
4324	4208	4900	0
4300	4208	4900	0
4908	4208	4908	0
4232	4208	4908	0
4300	4208	4908	0
4864	4208	4908	0
4324	4208	4908	0
4200	4200	4908	0
4860	4200	4908	0
4232	4200	4908	0
4268	4200	4908	0
4872	4200	4908	0
4224	4200	4908	0
4284	4200	4908	0
4856	4200	4908	0
4236	4200	4908	0
4284	4200	4908	0
4852	4200	4908	0
4220	4200	4908	0
4256	4200	4908	0
4892	4200	4908	0
4240	4200	4908	0
4268	4200	4908	0
4856	4200	4908	0
4240	4200	4908	0
4264	4200	4908	0
4876	4200	4908	0
4200	4200	4908	0
4380	4200	4908	0
4780	4200	4908	0
4228	4200	4908	0
4264	4200	4908	0
4868	4200	4908	0
4232	4200	4908	0
4276	4200	4908	0
4800	4200	4908	0
4296	4200	4908	0
4288	4200	4908	0
4860	4200	4908	0
4236	4200	4908	0
4276	4200	4908	0
4852	4200	4908	0
4244	4200	4908	0
4360	4200	4908	0
4788	4200	4908	0
4304	4200	4908	0
4220	4200	4908	0
4840	4200	4908	0
4220	4200	4908	0
4280	4200	4908	0
4872	4200	4908	0
4228	4200	4908	0
4284	4200	4908	0
4852	4200	4908	0
4232	4200	4908	0
4292	4200	4908	0
4860	4200	4908	0
4224	4200	4908	0
4288	4200	4908	0
4872	4200	4908	0
4228	4200	4908	0
4280	4200	4908	0
4852	4200	4908	0
4220	4200	4908	0
4376	4200	4908	0
4896	4200	4908	0
4356	4200	4908	0
4328	4200	4908	0
4240	4200	4908	0
4452	4200	4908	0
4324	4200	4908	0
4276	4200	4908	0
4400	4200	4908	0
4268	4200	4908	0
4276	4200	4908	0
4400	4200	4908	0
4284	4200	4908	0
4268	4200	4908	0
4392	4200	4908	0
4384	4200	4908	0
4284	4200	4908	0
4308	4200	4908	0
4400	4200	4908	0
4308	4200	4908	0
4284	4200	4908	0
4304	4200	4908	0
4232	4200	4908	0
4284	4200	4908	0
4288	4200	4908	0
4236	4200	4908	0
4280	4200	4908	0
4316	4200	4908	0
4192	4192	4908	0
4304	4192	4908	0
4320	4192	4908	0
4208	4192	4908	0
4296	4192	4908	0
4304	4192	4908	0
4216	4192	4908	0
4284	4192	4908	0
4320	4192	4908	0
4208	4192	4908	0
4284	4192	4908	0
4284	4192	4908	0
4204	4192	4908	0
4320	4192	4908	0
4324	4192	4908	0
4208	4192	4908	0
4288	4192	4908	0
4308	4192	4908	0
4216	4192	4908	0
4288	4192	4908	0
4296	4192	4908	0
4236	4192	4908	0
4280	4192	4908	0
4200	4192	4908	0
4292	4192	4908	0
4280	4192	4908	0
4324	4192	4908	0
4224	4192	4908	0
4284	4192	4908	0
4296	4192	4908	0
4216	4192	4908	0
4288	4192	4908	0
4296	4192	4908	0
4236	4192	4908	0
4280	4192	4908	0
4304	4192	4908	0
4196	4192	4908	0
4304	4192	4908	0
4312	4192	4908	0
4220	4192	4908	0
4288	4192	4908	0
4284	4192	4908	0
4240	4192	4908	0
4288	4192	4908	0
4300	4192	4908	0
4216	4192	4908	0
4292	4192	4908	0
4324	4192	4908	0
4184	4184	4908	0
4316	4184	4908	0
4288	4184	4908	0
4228	4184	4908	0
4280	4184	4908	0
4304	4184	4908	0
4280	4184	4908	0
4216	4184	4908	0
4228	4184	4908	0
4252	4184	4908	0
4304	4184	4908	0
4320	4184	4908	0
4188	4184	4908	0
4288	4184	4908	0
4324	4184	4908	0
4196	4184	4908	0
4296	4184	4908	0
4324	4184	4908	0
4208	4184	4908	0
4288	4184	4908	0
4316	4184	4908	0
4208	4184	4908	0
4280	4184	4908	0
4328	4184	4908	0
4220	4184	4908	0
4268	4184	4908	0
4324	4184	4908	0
4224	4184	4908	0
4264	4184	4908	0
4312	4184	4908	0
4216	4184	4908	0
4284	4184	4908	0
4296	4184	4908	0
4232	4184	4908	0
4268	4184	4908	0
4308	4184	4908	0
4228	4184	4908	0
4288	4184	4908	0
4292	4184	4908	0
4196	4184	4908	0
4284	4184	4908	0
4340	4184	4908	0
4208	4184	4908	0
4292	4184	4908	0
4308	4184	4908	0
4204	4184	4908	0
4308	4184	4908	0
4284	4184	4908	0
4200	4184	4908	0
4320	4184	4908	0
4296	4184	4908	0
4200	4184	4908	0
4296	4184	4908	0
4320	4184	4908	0
4292	4184	4908	0
4288	4184	4908	0
4408	4184	4908	0
4320	4184	4908	0
4340	4184	4908	0
4892	4184	4908	0
4208	4184	4908	0
4304	4184	4908	0
4856	4184	4908	0
4240	4184	4908	0
4288	4184	4908	0
4856	4184	4908	0
4212	4184	4908	0
4396	4184	4908	0
4872	4184	4908	0
4372	4184	4908	0
4364	4184	4908	0
4276	4184	4908	0
4412	4184	4908	0
4380	4184	4908	0
4288	4184	4908	0
4328	4184	4908	0
4364	4184	4908	0
4312	4184	4908	0
4300	4184	4908	0
4316	4184	4908	0
4220	4184	4908	0
4268	4184	4908	0
4308	4184	4908	0
4236	4184	4908	0
4284	4184	4908	0
4316	4184	4908	0
4224	4184	4908	0
4284	4184	4908	0
4288	4184	4908	0
4236	4184	4908	0
4292	4184	4908	0
4308	4184	4908	0
4180	4180	4908	0
4252	4180	4908	0
4392	4180	4908	0
4220	4180	4908	0
4280	4180	4908	0
4316	4180	4908	0
4220	4180	4908	0
4280	4180	4908	0
4308	4180	4908	0
4212	4180	4908	0
4288	4180	4908	0
4308	4180	4908	0
4212	4180	4908	0
4292	4180	4908	0
4316	4180	4908	0
4224	4180	4908	0
4272	4180	4908	0
4332	4180	4908	0
4224	4180	4908	0
4280	4180	4908	0
4308	4180	4908	0
4216	4180	4908	0
4300	4180	4908	0
4304	4180	4908	0
4220	4180	4908	0
4368	4180	4908	0
4276	4180	4908	0
4268	4180	4908	0
4280	4180	4908	0
4412	4180	4908	0
4312	4180	4908	0
4328	4180	4908	0
4880	4180	4908	0
4332	4180	4908	0
4308	4180	4908	0
4276	4180	4908	0
4368	4180	4908	0
4316	4180	4908	0
4340	4180	4908	0
4400	4180	4908	0
4272	4180	4908	0
4272	4180	4908	0
4396	4180	4908	0
4360	4180	4908	0
4308	4180	4908	0
4300	4180	4908	0
4360	4180	4908	0
4248	4180	4908	0
4336	4180	4908	0
4372	4180	4908	0
4208	4180	4908	0
4300	4180	4908	0
4320	4180	4908	0
4208	4180	4908	0
4296	4180	4908	0
4296	4180	4908	0
4212	4180	4908	0
4296	4180	4908	0
4308	4180	4908	0
4212	4180	4908	0
4292	4180	4908	0
4300	4180	4908	0
4204	4180	4908	0
4292	4180	4908	0
4312	4180	4908	0
4220	4180	4908	0
4288	4180	4908	0
4300	4180	4908	0
4312	4180	4908	0
4316	4180	4908	0
4376	4180	4908	0
4316	4180	4908	0
4292	4180	4908	0
4920	4180	4920	0
4240	4180	4920	0
4288	4180	4920	0
4856	4180	4920	0
4224	4180	4920	0
4272	4180	4920	0
4872	4180	4920	0
4228	4180	4920	0
4268	4180	4920	0
4860	4180	4920	0
4340	4180	4920	0
4268	4180	4920	0
4900	4180	4920	0
4344	4180	4920	0
4380	4180	4920	0
4288	4180	4920	0
4380	4180	4920	0
4388	4180	4920	0
4280	4180	4920	0
4288	4180	4920	0
4396	4180	4920	0
4276	4180	4920	0
4336	4180	4920	0
